Date,Infected,Dead
2014-08-29,935,380
2014-09-05,1146,443
2014-09-08,1234,461
2014-09-12,1287,478
2014-09-16,1464,514
2014-09-18,1513,517
2014-09-22,1640,545
2014-09-24,1745,552
2014-09-26,1816,557
2014-10-01,2076,574
2014-10-03,2179,575
2014-10-08,2455,725
2014-10-10,2593,753
2014-10-15,2849,926
2014-10-17,2977,932
2014-10-22,3223,986
2014-10-25,3389,1008
2014-10-29,3700,1008
2014-10-31,3778,1008
2014-11-05,4057,893
2014-11-07,4149,921
2014-11-12,4523,960
2014-11-14,4683,978
2014-11-19,5056,1041
2014-11-21,5152,1058
2014-11-26,5441,1189
2014-12-01,5831,1321
2014-12-03,5978,1374
2014-12-10,6375,1559
2014-12-15,6638,1824
2014-12-17,6702,1876
2014-12-22,6975,2190
2014-12-23,7017,2216
2014-12-24,7017,2216
2014-12-26,7160,2289
2014-12-29,7326,2366
2014-12-30,7354,2392
2014-12-31,7354,2392
2015-01-02,7476,2461
2015-01-05,7570,2549
2015-01-06,7602,2577
2015-01-07,7602,2577
2015-01-08,7759,2611
2015-01-09,7759,2611
2015-01-12,7766,2683
2015-01-13,7766,2683
2015-01-14,7786,2696
2015-01-15,7802,2701
2015-01-16,7825,2717
2015-01-19,7883,2766
2015-01-20,7903,2779
2015-01-21,7903,2779
2015-01-22,7909,2787
2015-01-23,7921,2793
2015-01-26,7963,2829
2015-01-27,7968,2833
2015-01-28,7968,2833
2015-01-29,7977,2841
2015-01-30,7989,2850
2015-02-02,8042,2908
2015-02-03,8059,2910
2015-02-04,8059,2910
2015-02-05,8063,2920
2015-02-06,8084,2935
2015-02-10,8135,2975
2015-02-11,8135,2975
2015-02-12,8138,2984
2015-02-13,8155,2997
2015-02-16,8199,3035
2015-02-17,8212,3042
2015-02-18,8212,3042
2015-02-19,8223,3057
2015-02-20,8223,3057
2015-02-23,8223,3057
2015-02-25,8289,3095
2015-02-26,8308,3113
2015-02-27,8320,3124
2015-03-02,8353,3164
2015-03-04,8353,3164
2015-03-05,8383,3199
2015-03-06,8389,3210
2015-03-10,8428,3263
2015-03-11,8428,3263
2015-03-12,8463,3289
2015-03-13,8469,3297
2015-03-16,8484,3321
2015-03-17,8487,3325
2015-03-18,8487,3325
2015-03-20,8508,3346
2015-03-23,8518,3376
2015-03-24,8520,3381
2015-03-25,8520,3381
2015-03-26,8529,3398
2015-03-27,8532,3407
2015-04-07,8555,3466
2015-04-09,8558,3475
2015-04-13,8560,3488
2015-04-14,8563,3491
2015-04-15,8563,3491
2015-04-16,8566,3499
2015-04-17,8569,3499
2015-04-20,8572,3506
2015-04-21,8573,3511
2015-04-22,8575,3511
2015-04-23,8581,3519
2015-04-24,8584,3520
2015-04-27,8585,3529
2015-04-28,8586,3533
2015-04-30,8588,3535
2015-05-01,8590,3535
2015-05-04,8592,3536
2015-05-05,8595,3537
2015-05-06,8595,3537
2015-05-07,8597,3538
2015-05-08,8597,3538
2015-05-11,8597,3538
2015-05-12,8597,3538
2015-05-13,8597,3538
2015-05-14,8597,3538
2015-05-15,8598,3538
2015-05-18,8603,3540
2015-05-19,8605,3541
2015-05-20,8605,3541
2015-05-21,8607,3541
2015-05-22,8608,3541
2015-05-25,8608,3542
2015-05-26,8608,3542
2015-05-27,8608,3542
2015-05-28,8611,3545
2015-05-29,8614,3545
2015-06-01,8618,3545
2015-06-02,8620,3546
2015-06-03,8620,3546
2015-06-04,8623,3546
2015-06-05,8624,3546
2015-06-08,8630,3547
2015-06-09,8635,3549
2015-06-10,8635,3549
2015-06-11,8638,3551
2015-06-12,8647,3551
2015-06-15,8649,3553
2015-06-16,8649,3553
2015-06-17,8649,3553
2015-06-18,8651,3556
2015-06-19,8654,3560
2015-06-22,8657,3562
2015-06-23,8657,3562
2015-06-24,8657,3562
2015-06-25,8660,3565
2015-06-26,8662,3565
2015-06-29,8664,3566
2015-06-30,8665,3566
2015-07-01,8665,3566
2015-07-02,8668,3567
2015-07-03,8671,3569
2015-07-06,8673,3574
2015-07-07,8674,3574
2015-07-08,8674,3574
2015-07-09,8675,3575
2015-07-10,8676,3575
2015-07-13,8687,3580
2015-07-14,8688,3581
2015-07-15,8688,3581
2015-07-16,8688,3581
2015-07-17,8688,3581
2015-07-20,8692,3583
2015-07-21,8692,3583
2015-07-22,8692,3583
2015-07-23,8693,3583
2015-07-24,8693,3583
2015-07-27,8694,3585
2015-07-28,8694,3585
2015-07-29,8694,3585
2015-07-30,8694,3585
2015-07-31,8694,3585
2015-08-03,8695,3585
2015-08-04,8695,3585
2015-08-05,8695,3585
2015-08-06,8696,3585
2015-08-07,8696,3585
2015-08-10,8697,3585
2015-08-11,8697,3585
2015-08-12,8697,3585
2015-08-13,8697,3585
2015-08-14,8697,3586
2015-08-17,8697,3586
2015-08-18,8697,3586
2015-08-19,8697,3586
2015-08-20,8697,3586
2015-08-21,8697,3586
2015-08-24,8697,3586
2015-08-25,8697,3586
2015-08-26,8697,3586
2015-08-27,8697,3586
2015-08-28,8697,3586
2015-08-31,8698,3587
2015-09-01,8698,3587
2015-09-02,8698,3587
2015-09-03,8698,3587
2015-09-04,8698,3587
2015-09-07,8699,3587
2015-09-08,8699,3587
2015-09-09,8699,3587
2015-09-10,8702,3587
2015-09-11,8703,3587
2015-09-14,8703,3587
2015-09-15,8704,3587
2015-09-16,8704,3587
2015-09-17,8704,3589
2015-09-18,8704,3589
2015-09-21,8704,3589
2015-09-22,8704,3589
2015-09-23,8704,3589
2015-09-24,8704,3589
2015-09-25,8704,3589
2015-09-28,8704,3589
2015-09-29,8704,3589
2015-09-30,8704,3589
2015-10-01,8704,3589
2015-10-02,8704,3589
2015-10-05,8704,3589
2015-10-06,8704,3589
2015-10-07,8704,3589
2015-10-08,8704,3589
2015-10-09,8704,3589
2015-10-13,8704,3589
2015-10-15,8704,3589
2015-10-16,8704,3589
2015-10-20,8704,3589
2015-10-22,8704,3589
2015-10-23,8704,3589
2015-10-26,8704,3589
2015-10-27,8704,3589
2015-10-29,8704,3589
2015-10-30,8704,3589
2015-11-03,8704,3589
2015-11-05,8704,3589
2015-11-06,8704,3589
